-16 5 => 7 0.666666666667
0 -15 => -1 1.0
7 -7 => -1 0.5
7 -7 => 5 0.5
-13 2 => 5 1.0
4 7 5 => -7 1.0
5 -12 => 3 1.0
-5 -1 => -7 1.0
19 -5 => 12 1.0
12 7 5 => -16 1.0
18 6 7 => -29 1.0
2 19 => 20 0.5
2 19 => 14 0.5
-1 2 => 0 0.5
-1 2 => -4 0.5
-7 -3 => 5 1.0
-29 11 => 14 1.0
17 7 => -12 0.333333333333
17 7 => -1 0.666666666667
15 => 11 0.013698630137
15 => 10 0.013698630137
15 => 12 0.191780821918
15 => 20 0.013698630137
15 => 14 0.205479452055
15 => 17 0.013698630137
15 => 16 0.041095890411
15 => 19 0.123287671233
15 => 18 0.013698630137
15 => 22 0.013698630137
15 => -7 0.027397260274
15 => -5 0.0547945205479
15 => 0 0.027397260274
15 => 3 0.0547945205479
15 => -12 0.027397260274
15 => 5 0.013698630137
15 => 4 0.027397260274
15 => 7 0.0547945205479
15 => -17 0.027397260274
15 => 129 0.027397260274
15 => -3 0.013698630137
21 => 19 0.25
21 => 9 0.25
21 => 17 0.25
21 => 10 0.25
3 2 => -19 0.2
3 2 => 3 0.2
3 2 => 5 0.2
3 2 => -17 0.2
3 2 => -22 0.2
-4 => 12 0.0714285714286
-4 => 15 0.0714285714286
-4 => 14 0.142857142857
-4 => 17 0.0714285714286
-4 => 19 0.142857142857
-4 => 0 0.142857142857
-4 => -13 0.0714285714286
-4 => 5 0.285714285714
-10 6 => 2 0.666666666667
-10 6 => 7 0.333333333333
129 -6 => 129 1.0
15 5 => 8 1.0
-11 -5 => 9 1.0
-13 9 => 7 1.0
-10 -1 => 14 1.0
13 15 => -5 1.0
-12 7 5 => 9 1.0
-1 -12 => 11 1.0
20 9 => 21 1.0
20 8 => 20 1.0
22 10 => 15 0.2
22 10 => 22 0.8
-21 7 => 6 1.0
0 19 => 15 1.0
-12 -5 => -2 1.0
9 7 5 => 4 1.0
-7 -4 => 14 1.0
-2 5 => 4 1.0
-10 -12 => -24 1.0
15 7 => 10 0.25
15 7 => 12 0.25
15 7 => 14 0.25
15 7 => 6 0.25
2 -1 => 0 0.666666666667
2 -1 => 20 0.333333333333
1 2 => -14 0.5
1 2 => 7 0.5
12 2 14 => 3 1.0
-10 14 => 2 0.333333333333
-10 14 => 17 0.333333333333
-10 14 => 16 0.333333333333
-31 -10 => -7 1.0
0 12 11 => 12 0.4
0 12 11 => 2 0.2
0 12 11 => -17 0.2
0 12 11 => 6 0.2
-6 -12 => -10 1.0
-26 => 8 1.0
2 -10 => 14 1.0
14 3 => 0 0.5
14 3 => 12 0.5
-10 6 7 => 1 1.0
-16 12 => 2 0.5
-16 12 => 15 0.5
14 11 12 => 9 1.0
15 12 => 13 0.0769230769231
15 12 => 15 0.0769230769231
15 12 => 5 0.0769230769231
15 12 => 4 0.153846153846
15 12 => 7 0.461538461538
15 12 => 6 0.0769230769231
15 12 => 9 0.0769230769231
-12 => 11 0.0344827586207
-12 => 12 0.241379310345
-12 => 15 0.137931034483
-12 => 14 0.0344827586207
-12 => 0 0.0344827586207
-12 => -24 0.0344827586207
-12 => -5 0.0344827586207
-12 => -10 0.0344827586207
-12 => 3 0.0344827586207
-12 => 5 0.0344827586207
-12 => 7 0.0689655172414
-12 => -16 0.0689655172414
-12 => 9 0.137931034483
-12 => 19 0.0344827586207
-12 => -29 0.0344827586207
-9 22 => -9 1.0
11 7 => 19 0.333333333333
11 7 => 3 0.166666666667
11 7 => 12 0.166666666667
11 7 => 5 0.166666666667
11 7 => -13 0.166666666667
17 18 => 19 1.0
14 17 => 11 0.125
14 17 => 12 0.125
14 17 => 20 0.125
14 17 => -10 0.125
14 17 => 8 0.125
14 17 => 15 0.25
14 17 => -9 0.125
0 6 => 129 0.5
0 6 => 2 0.5
-6 129 => 15 1.0
-9 10 => 9 0.333333333333
-9 10 => 8 0.666666666667
-15 -12 => -29 1.0
-1 3 => -12 1.0
3 => 2 0.0943396226415
3 => 12 0.0566037735849
3 => 20 0.0188679245283
3 => 7 0.169811320755
3 => 17 0.0377358490566
3 => -9 0.0566037735849
3 => -16 0.0566037735849
3 => -19 0.0377358490566
3 => -21 0.0188679245283
3 => 0 0.11320754717
3 => -12 0.0377358490566
3 => -15 0.0188679245283
3 => 4 0.0188679245283
3 => -17 0.0377358490566
3 => 6 0.0188679245283
3 => 9 0.0188679245283
3 => 15 0.0754716981132
3 => 5 0.0943396226415
3 => -6 0.0188679245283
13 14 => -2 1.0
20 -1 => 19 1.0
18 17 => 16 1.0
19 12 => 11 0.25
19 12 => -12 0.25
19 12 => 15 0.5
20 2 => 3 1.0
-6 -5 => -25 0.5
-6 -5 => -2 0.5
7 18 => 15 1.0
2 -17 => 5 0.666666666667
2 -17 => 14 0.333333333333
-7 3 => 0 1.0
-4 0 => 12 1.0
-4 14 => 17 1.0
-5 19 => 18 0.5
-5 19 => 7 0.5
20 19 => 17 0.75
20 19 => 7 0.25
15 3 => 2 0.25
15 3 => 15 0.75
17 11 => 1 0.666666666667
17 11 => -17 0.333333333333
7 2 => 10 0.2
7 2 => -2 0.2
7 2 => 14 0.2
7 2 => -17 0.2
7 2 => 6 0.2
0 7 => -13 1.0
17 9 => 0 1.0
0 => -24 0.0104166666667
0 => -20 0.0104166666667
0 => 1 0.0104166666667
0 => 3 0.03125
0 => 2 0.0416666666667
0 => 4 0.0104166666667
0 => 7 0.0104166666667
0 => 6 0.0208333333333
0 => 9 0.0104166666667
0 => -10 0.0104166666667
0 => -12 0.0625
0 => -15 0.0104166666667
0 => -17 0.03125
0 => -16 0.0104166666667
0 => -19 0.03125
0 => 11 0.0208333333333
0 => 12 0.5
0 => 15 0.0208333333333
0 => 14 0.0208333333333
0 => 17 0.0416666666667
0 => 16 0.0208333333333
0 => 19 0.0104166666667
0 => -7 0.0104166666667
0 => -3 0.0208333333333
0 => -9 0.0208333333333
-5 9 => 8 0.333333333333
-5 9 => 7 0.666666666667
12 14 15 => -5 0.333333333333
12 14 15 => 0 0.666666666667
5 -17 => -1 0.5
5 -17 => 7 0.5
19 7 => 19 0.894736842105
19 7 => 18 0.0263157894737
19 7 => 2 0.0263157894737
19 7 => 15 0.0526315789474
-14 -9 => -12 1.0
3 7 10 => -21 1.0
2 14 => 1 0.05
2 14 => -10 0.05
2 14 => 3 0.1
2 14 => 2 0.75
2 14 => 5 0.05
11 0 => 12 1.0
14 -1 => 15 1.0
14 -4 => 12 1.0
-5 15 => 14 1.0
5 3 => -9 0.375
5 3 => -21 0.125
5 3 => 7 0.5
7 10 => -5 0.125
7 10 => 15 0.125
7 10 => 14 0.375
7 10 => 7 0.125
7 10 => -21 0.25
5 12 => 3 0.333333333333
5 12 => 5 0.333333333333
5 12 => 17 0.333333333333
-14 10 => 3 1.0
129 2 => 8 1.0
-10 9 => 7 1.0
