-4 2 => 5 0.5
-2 7 => 3 0.5
-2 7 => 4 0.5
-2 -1 => 0 0.666666666667
-2 -1 => -3 0.333333333333
-9 -6 => -1 1.0
3 12 => 9 0.333333333333
3 12 => 10 0.666666666667
4 7 => 13 0.125
4 7 => 12 0.625
4 7 => 4 0.25
-8 -12 => -7 1.0
1 10 => 5 1.0
0 6 => 0 1.0
-14 -10 => -4 1.0
18 -6 => 4 1.0
8 => 11 0.025641025641
8 => 12 0.0512820512821
8 => -3 0.025641025641
8 => 17 0.025641025641
8 => 3 0.0769230769231
8 => 5 0.128205128205
8 => 4 0.0512820512821
8 => 7 0.487179487179
8 => 6 0.025641025641
8 => 9 0.0512820512821
8 => 14 0.0512820512821
5 8 => 11 1.0
6 10 => 6 1.0
-1 -4 => -5 0.444444444444
-1 -4 => -7 0.111111111111
-1 -4 => -6 0.222222222222
-1 -4 => -8 0.111111111111
-1 -4 => -2 0.111111111111
-5 0 => 3 0.4
-5 0 => -9 0.1
-5 0 => 4 0.4
-5 0 => -2 0.1
-4 -2 => 18 1.0
4 3 => 1 0.142857142857
4 3 => 2 0.857142857143
-8 -1 => 2 1.0
-12 0 => -6 1.0
-13 -4 => -6 1.0
9 8 => 7 1.0
-7 1 => -4 1.0
-4 -1 -4 => -6 0.666666666667
-4 -1 -4 => -8 0.333333333333
14 13 => 12 1.0
7 -4 => 0 1.0
-2 3 => -5 0.25
-2 3 => 8 0.25
-2 3 => -7 0.25
-2 3 => 7 0.25
10 6 => 11 0.333333333333
10 6 => 9 0.333333333333
10 6 => 5 0.333333333333
5 3 2 => 0 0.888888888889
5 3 2 => -2 0.111111111111
13 10 => 8 0.5
13 10 => 6 0.5
-5 -9 => -11 0.166666666667
-5 -9 => -10 0.333333333333
-5 -9 => -13 0.166666666667
-5 -9 => -12 0.166666666667
-5 -9 => -14 0.166666666667
2 -1 -3 => 0 1.0
1 => 10 0.0555555555556
1 => -4 0.0833333333333
1 => -5 0.0277777777778
1 => 0 0.194444444444
1 => 2 0.0555555555556
1 => -1 0.166666666667
1 => 4 0.166666666667
1 => -3 0.111111111111
1 => -2 0.138888888889
-6 -1 => 2 0.5
-6 -1 => -2 0.5
1 0 => 9 0.142857142857
1 0 => -1 0.857142857143
7 13 => 7 1.0
-12 => -11 0.0666666666667
-12 => 12 0.0333333333333
-12 => 15 0.0333333333333
-12 => 14 0.0333333333333
-12 => 0 0.0333333333333
-12 => -7 0.0333333333333
-12 => -5 0.0666666666667
-12 => -4 0.0333333333333
-12 => -13 0.0333333333333
-12 => -14 0.0333333333333
-12 => 8 0.0333333333333
-12 => -9 0.4
-12 => -8 0.166666666667
-3 -5 -7 => -8 1.0
9 12 => 15 1.0
17 15 => 24 0.181818181818
17 15 => 14 0.818181818182
-10 -9 => -5 0.333333333333
-10 -9 => -8 0.666666666667
-7 13 => 8 1.0
8 3 => 0 0.666666666667
8 3 => -1 0.333333333333
-5 4 => -2 1.0
-5 -6 => -7 1.0
-10 -11 => -13 0.333333333333
-10 -11 => -12 0.666666666667
9 5 => 8 1.0
3 -2 => -5 0.25
3 -2 => 8 0.25
3 -2 => -6 0.25
3 -2 => 7 0.25
-10 -7 -9 -5 => -13 1.0
-3 => 1 0.0333333333333
-3 => -4 0.3
-3 => 6 0.0666666666667
-3 => -5 0.166666666667
-3 => 0 0.1
-3 => -6 0.1
-3 => -1 0.0333333333333
-3 => 7 0.0333333333333
-3 => -2 0.1
-3 => 9 0.0333333333333
-3 => 2 0.0333333333333
14 -5 => -1 1.0
-6 -8 => -11 0.333333333333
-6 -8 => -4 0.333333333333
-6 -8 => 1 0.166666666667
-6 -8 => -9 0.166666666667
1 -3 => -5 0.25
1 -3 => 0 0.25
1 -3 => -6 0.25
1 -3 => 7 0.25
16 19 => 24 1.0
-9 -12 => 0 0.333333333333
-9 -12 => -14 0.333333333333
-9 -12 => 14 0.333333333333
13 7 6 => 9 1.0
-2 -10 => -12 0.333333333333
-2 -10 => -2 0.666666666667
13 => 11 0.142857142857
13 => 8 0.142857142857
13 => 12 0.285714285714
13 => 7 0.142857142857
13 => 10 0.285714285714
5 -1 => -4 0.333333333333
5 -1 => -3 0.333333333333
5 -1 => -2 0.333333333333
27 => 26 0.6
27 => 31 0.4
14 9 => 5 0.5
14 9 => 7 0.5
23 8 => 12 1.0
1 4 => 1 0.666666666667
1 4 => 9 0.166666666667
1 4 => 7 0.166666666667
-1 0 => 1 1.0
-5 -13 => -5 0.2
-5 -13 => -10 0.8
-4 -9 => -12 1.0
-12 -4 => -9 1.0
32 => 31 1.0
-7 -5 => -7 1.0
0 9 => 3 1.0
28 => 26 0.6
28 => 31 0.4
8 7 => 0 0.0526315789474
8 7 => 5 0.526315789474
8 7 => 4 0.0526315789474
8 7 => 6 0.368421052632
-2 -3 => -4 0.75
-2 -3 => -2 0.125
-2 -3 => 0 0.125
9 7 6 => 2 1.0
-12 8 => 3 1.0
-10 -9 -5 => -2 1.0
-12 -9 -10 => -7 1.0
1 -4 => -7 0.333333333333
1 -4 => -1 0.333333333333
1 -4 => -8 0.333333333333
-11 1 => -4 1.0
17 19 => 0 0.333333333333
17 19 => 17 0.666666666667
-6 => -5 0.09375
-6 => 15 0.03125
-6 => -7 0.21875
-6 => 1 0.03125
-6 => 3 0.03125
-6 => -1 0.0625
-6 => 4 0.03125
-6 => -3 0.09375
-6 => -2 0.0625
-6 => 5 0.03125
-6 => -9 0.125
-6 => -8 0.1875
6 4 => 7 1.0
-10 => -3 0.0227272727273
-10 => -7 0.159090909091
-10 => -11 0.0681818181818
-10 => -4 0.0681818181818
-10 => -13 0.0227272727273
-10 => -6 0.0454545454545
-10 => -1 0.0227272727273
-10 => -14 0.0454545454545
-10 => -12 0.386363636364
-10 => -2 0.0909090909091
-10 => -9 0.0681818181818
-9 11 => 10 1.0
