-12 => 0 0.16
-12 => -27 0.36
-12 => -20 0.04
-12 => -22 0.04
-12 => -4 0.04
-12 => 3 0.12
-12 => 7 0.12
-12 => 9 0.04
-12 => -9 0.04
-12 -9 0 => -27 1.0
-24 5 6 7 => -27 0.6
-24 5 6 7 => -31 0.2
-24 5 6 7 => -22 0.2
21 24 => 10 0.5
21 24 => 22 0.5
-31 9 => 12 0.153846153846
-31 9 => 3 0.461538461538
-31 9 => 2 0.0769230769231
-31 9 => 6 0.307692307692
-34 11 => 14 0.5
-34 11 => -22 0.5
7 -19 => 9 1.0
-34 9 => 12 0.333333333333
-34 9 => -32 0.666666666667
3 => 9 0.015873015873
3 => 27 0.031746031746
3 => -17 0.015873015873
3 => -24 0.047619047619
3 => -27 0.015873015873
3 => -20 0.015873015873
3 => -32 0.015873015873
3 => -22 0.047619047619
3 => -5 0.047619047619
3 => 0 0.0793650793651
3 => 12 0.031746031746
3 => 4 0.047619047619
3 => 7 0.412698412698
3 => -19 0.015873015873
3 => 2 0.126984126984
3 => -3 0.015873015873
3 => -29 0.015873015873
-21 12 => 0 0.5
-21 12 => -17 0.5
-17 -4 => 0 1.0
0 -27 => 9 0.25
0 -27 => 0 0.0833333333333
0 -27 => 2 0.25
0 -27 => -15 0.166666666667
0 -27 => 14 0.25
-29 3 => 2 0.166666666667
-29 3 => 7 0.833333333333
-31 -19 => -30 1.0
21 -31 => 21 1.0
-21 3 => 2 1.0
9 6 => -24 0.0769230769231
9 6 => -36 0.153846153846
9 6 => -29 0.538461538462
9 6 => -31 0.0769230769231
9 6 => -32 0.153846153846
12 -28 => 7 1.0
-12 -27 => -15 1.0
-19 -36 => 15 0.5
-19 -36 => 21 0.5
7 2 => 3 1.0
0 => -28 0.00934579439252
0 => -29 0.018691588785
0 => -24 0.102803738318
0 => -27 0.11214953271
0 => -20 0.00934579439252
0 => -21 0.0467289719626
0 => -22 0.0747663551402
0 => 3 0.0280373831776
0 => 2 0.018691588785
0 => 5 0.00934579439252
0 => 4 0.0280373831776
0 => -12 0.00934579439252
0 => -15 0.00934579439252
0 => -17 0.0654205607477
0 => -19 0.018691588785
0 => -36 0.0467289719626
0 => -34 0.0934579439252
0 => -32 0.177570093458
0 => -31 0.0841121495327
0 => -3 0.00934579439252
0 => -2 0.00934579439252
0 => -8 0.018691588785
-31 5 => 6 1.0
-29 5 6 7 => -27 0.5
-29 5 6 7 => -32 0.5
-36 3 7 => 9 0.333333333333
-36 3 7 => 0 0.333333333333
-36 3 7 => 4 0.333333333333
5 -17 => 3 1.0
0 -32 -20 => -36 0.181818181818
0 -32 -20 => -29 0.818181818182
11 0 => -31 1.0
-27 => 12 0.0298507462687
-27 => 14 0.044776119403
