melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,pitch_between_rules,branchiness_variance,melodic_mean,unweighted_abruptness,label
0.138888889,1.75,0.138888889,6,2,0.166666667,2.666666667,"[1, 2, 4, 2, 1]",1.888888889,1.166666667,1,Rock
0.25,9,5.535723018,10,1,1.428571429,2.571428571,"[2, 3, 3, 10, 1, 3, 4, 2, 10, 2, 2, 3, 1, 2, 10]",1.102040816,1.5,1,Rock
0.756666667,4,1.283106918,17,7,2.433333333,3.333333333,"[2, 3, 5, 2, 8, 2, 7, 5, 3, 1, 5, 8, 4, 5, 10, 3, 4, 1, 8, 1, 3, 8, 7]",2.555555556,1.9,3,Rock
0.601134216,5,1.922452109,13,2,2.869565217,2.695652174,"[3, 3, 7, 3, 3, 6, 7, 7, 7, 8, 3, 6, 1, 3, 6, 6, 8, 4, 1, 2, 3, 11]",0.733459357,1.913043478,7,Rock
0.24,3,0.666666667,10,5,2,2.4,"[5, 10, 10, 5]",0.24,1.4,5,Rock
2.06122449,4,1.170956996,21,7,7.535714286,2.857142857,"[15, 4, 15, 21, 15, 12, 14, 10, 15, 14, 10, 1, 15, 15, 6, 21, 4, 13, 21]",1.551020408,2.285714286,14,Rock
0.475624257,4,1.266053515,17,4,2.172413793,3.517241379,"[8, 7, 7, 2, 2, 5, 4, 5, 4, 14, 5, 2, 1, 6, 4, 4, 4, 1, 3, 3, 5, 6, 3, 4, 6, 7, 2]",3.353151011,1.724137931,2,Rock
0,1,0,25,20,0,2.285714286,"[1, 7, 20]",1.632653061,1,20,Rock
0.404628498,13,14.42252316,41,15,6.701195219,4.111553785,"[6, 2, 7, 2, 15, 7, 2, 29, 12, 5, 12, 3, 6, 6, 15, 3, 3, 29, 11, 1, 8, 5, 2, 7, 22, 3, 27, 6, 8, 36, 8, 5, 1, 12, 7, 40, 8, 3, 19, 8, 7, 10, 5, 4, 1, 8, 5, 3, 4, 5, 26, 5, 1, 16, 4, 7, 11, 5, 8, 16, 4, 17, 16, 7, 2, 24, 7, 10, 5, 2, 5, 24, 4, 3, 13, 5, 1, 3, 26, 7, 9, 7, 34, 7, 12, 27, 12, 17, 5, 15, 6, 6, 7, 12, 12, 7, 2, 8, 11, 24, 29, 27, 3, 26, 19, 34, 15, 15, 26, 1, 3, 17, 17, 5, 15, 17, 9, 1, 22, 5, 9, 3, 7, 19, 5, 1, 8, 18, 25, 5, 7, 12, 5, 3, 12, 36, 12, 11, 7, 1, 4, 12, 15, 5, 21, 4, 34, 28, 5, 5, 5, 5, 3, 2, 5, 5, 12, 15, 5, 13, 16, 14, 12, 8, 6, 3, 2, 7, 12, 2, 6, 10, 21, 7, 5, 4, 7, 33, 26, 27, 11, 5, 4, 1, 12, 29, 2, 7, 7, 12, 9, 7, 11, 25, 1, 5, 34, 2, 12, 5, 7, 5, 4, 2, 28, 9, 7, 29, 12, 19, 4, 7, 7, 8, 8, 5, 1, 5, 1, 26, 14, 2, 22, 14, 10, 7, 19, 27, 12, 1, 1, 6, 7, 1, 7, 7, 23, 34, 5, 8, 3, 2, 3, 12, 7, 3, 27, 12, 7, 1, 17, 1, 1, 3, 7, 7, 2, 5, 16, 4]",5.254488024,2.075697211,34,Rock
0.917820868,5.916666667,2.370591096,21,15,10,3.298245614,"[2, 21, 19, 19, 4, 13, 19, 8, 21, 13, 12, 19, 19, 8, 16, 19, 21, 17, 2, 2, 13, 8, 21, 14, 15, 2, 15, 19, 19, 2, 9, 13, 13, 8, 6, 2, 4, 6, 4, 21, 8, 13, 19, 9, 13, 9, 13, 21, 21, 10, 19, 15, 16, 9, 3, 19, 19, 19, 4]",2.59526008,2.315789474,2,Rock
